ts,device_id,seq,ip,uptime_s,rssi,beacons_json
2025-10-03T03:03:08,esp32-34cdb033a6c4,1460,10.175.95.78,466,,"[{""name"": ""beacon_6"", ""rssi"": -70}, {""name"": ""beacon_2"", ""rssi"": -63}, {""name"": ""beacon_7"", ""rssi"": -56}, {""name"": ""beacon_4"", ""rssi"": -65}, {""name"": ""beacon_3"", ""rssi"": -68}, {""name"": ""beacon_8"", ""rssi"": -77}, {""name"": ""beacon_5"", ""rssi"": -51}, {""name"": ""beacon_1"", ""rssi"": -70}]"
2025-10-03T03:03:08,esp32-34cdb033a6c4,1461,10.175.95.78,467,,"[{""name"": ""beacon_7"", ""rssi"": -55}, {""name"": ""beacon_2"", ""rssi"": -78}, {""name"": ""beacon_4"", ""rssi"": -70}, {""name"": ""beacon_3"", ""rssi"": -69}, {""name"": ""beacon_8"", ""rssi"": -67}, {""name"": ""beacon_1"", ""rssi"": -76}, {""name"": ""beacon_5"", ""rssi"": -54}]"
2025-10-03T03:03:10,esp32-34cdb033a6c4,1462,10.175.95.78,467,,"[{""name"": ""beacon_5"", ""rssi"": -54}, {""name"": ""beacon_3"", ""rssi"": -69}]"
2025-10-03T03:03:10,esp32-34cdb033a6c4,1463,10.175.95.78,467,,"[{""name"": ""beacon_8"", ""rssi"": -70}, {""name"": ""beacon_6"", ""rssi"": -70}, {""name"": ""beacon_7"", ""rssi"": -67}, {""name"": ""beacon_4"", ""rssi"": -60}, {""name"": ""beacon_3"", ""rssi"": -69}, {""name"": ""beacon_2"", ""rssi"": -70}, {""name"": ""beacon_1"", ""rssi"": -67}, {""name"": ""beacon_5"", ""rssi"": -52}]"
2025-10-03T03:03:10,esp32-34cdb033a6c4,1464,10.175.95.78,468,,"[{""name"": ""beacon_1"", ""rssi"": -68}, {""name"": ""beacon_6"", ""rssi"": -71}, {""name"": ""beacon_7"", ""rssi"": -58}, {""name"": ""beacon_4"", ""rssi"": -69}, {""name"": ""beacon_3"", ""rssi"": -70}, {""name"": ""beacon_8"", ""rssi"": -71}, {""name"": ""beacon_5"", ""rssi"": -51}, {""name"": ""beacon_2"", ""rssi"": -70}]"
2025-10-03T03:03:10,esp32-34cdb033a6c4,1465,10.175.95.78,468,,"[{""name"": ""beacon_6"", ""rssi"": -72}, {""name"": ""beacon_7"", ""rssi"": -55}, {""name"": ""beacon_2"", ""rssi"": -62}, {""name"": ""beacon_4"", ""rssi"": -61}, {""name"": ""beacon_3"", ""rssi"": -69}, {""name"": ""beacon_8"", ""rssi"": -65}, {""name"": ""beacon_1"", ""rssi"": -72}, {""name"": ""beacon_5"", ""rssi"": -52}]"
2025-10-03T03:03:10,esp32-34cdb033a6c4,1466,10.175.95.78,468,,"[{""name"": ""beacon_8"", ""rssi"": -67}, {""name"": ""beacon_6"", ""rssi"": -73}, {""name"": ""beacon_7"", ""rssi"": -58}, {""name"": ""beacon_4"", ""rssi"": -60}, {""name"": ""beacon_2"", ""rssi"": -75}, {""name"": ""beacon_3"", ""rssi"": -72}, {""name"": ""beacon_1"", ""rssi"": -69}, {""name"": ""beacon_5"", ""rssi"": -56}]"
2025-10-03T03:03:11,esp32-34cdb033a6c4,1467,10.175.95.78,468,,"[{""name"": ""beacon_3"", ""rssi"": -72}, {""name"": ""beacon_7"", ""rssi"": -58}, {""name"": ""beacon_1"", ""rssi"": -70}]"
2025-10-03T03:03:11,esp32-34cdb033a6c4,1468,10.175.95.78,469,,"[{""name"": ""beacon_6"", ""rssi"": -72}, {""name"": ""beacon_2"", ""rssi"": -63}, {""name"": ""beacon_4"", ""rssi"": -77}, {""name"": ""beacon_7"", ""rssi"": -55}, {""name"": ""beacon_8"", ""rssi"": -65}, {""name"": ""beacon_1"", ""rssi"": -68}, {""name"": ""beacon_5"", ""rssi"": -52}]"
2025-10-03T03:03:11,esp32-34cdb033a6c4,1469,10.175.95.78,469,,"[{""name"": ""beacon_3"", ""rssi"": -72}, {""name"": ""beacon_7"", ""rssi"": -54}, {""name"": ""beacon_6"", ""rssi"": -81}, {""name"": ""beacon_4"", ""rssi"": -67}, {""name"": ""beacon_2"", ""rssi"": -70}, {""name"": ""beacon_8"", ""rssi"": -64}, {""name"": ""beacon_5"", ""rssi"": -52}, {""name"": ""beacon_1"", ""rssi"": -71}]"
